DescriptionEn,DescriptionRu,DescriptionUz,ExtData,Name
Normalized Difference Vegetation Index ,Нормализованный вегетационный индекс ,Normallashtirilgan o‘simlik indeksi,,NDVI
Normalized Difference Water Index,Нормализованный разностный водный индекс ,Normallashtirilgan farqli suv indeksi,,NDWI
Optimized Relative Vegetation Index,Усовершенствованный Вегетационный Индекс ,Takomillashtirilgan o‘simlik indeksi,,EVI
Soil Adjusted and Atmospherically Resistant VI ,почвенный вегетационный индекс,Tuproq o‘simlik indeksi,,SAVI
Leaf Area Index ,Индекс Листовой Поверхности ,Barg yuzasi indeksi,,LAI
Atmosphere-Resistant Vegetation Index,Атмосфероустойчивый Вегетационный Индекс,Atmosferaga chidamli o‘simlik indeksi,,ARVI
